Video Title,Song Name,Song Date,Song Type,Featuring Artists,Number of Likes,Number of Views,Number of Comments
Sanfara ft. Didine Canon 16 - Doctor (Clip Officiel),Sanfara ft. Didine Canon 16 - Doctor (Clip Officiel),2020-12-31T11:01:45Z,Featuring,Didine Canon 16 - Doctor (Clip Officiel),262373,11910588,9578
Sanfara ft. Didine Canon 16 - Doctor (Clip Officiel),Sanfara ft. Didine Canon 16 - Doctor (Clip Officiel),2020-12-31T11:01:45Z,Featuring,Didine Canon 16 - Doctor (Clip Officiel),262373,11910588,9578
Sanfara - Taw Twelef | تو توالف,Sanfara - Taw Twelef | تو توالف,2020-12-16T15:57:49Z,Solo,[],83747,5979980,3215
Sanfara - Zid Osber (Official Audio) | زيد أصبر,Sanfara - Zid Osber (Official Audio) | زيد أصبر,2020-11-27T20:33:56Z,Solo,[],53997,1588923,3453
Sanfara - Kima Dima | كيما ديما,Sanfara - Kima Dima | كيما ديما,2020-11-19T13:00:01Z,Solo,[],78192,4214540,2564
Sanfara - 3ami | عمّي (Clip Officiel),Sanfara - 3ami | عمّي (Clip Officiel),2020-11-05T12:17:41Z,Solo,[],123420,6984603,4782
Hamouda X Sanfara - Nour Einya (Official Music Video) | نور عينيا,Hamouda X Sanfara - Nour Einya (Official Music Video) | نور عينيا,2020-10-24T12:00:03Z,Solo,[],524460,49844311,15363
Sanfara - Matwasini (Clip Officiel) | متوصيني,Sanfara - Matwasini (Clip Officiel) | متوصيني,2020-10-13T18:25:05Z,Solo,[],137550,8413139,4323
Sanfara - Rak Bi Denya (Clip Officiel) | راك بالدنيا,Sanfara - Rak Bi Denya (Clip Officiel) | راك بالدنيا,2020-07-03T10:41:50Z,Solo,[],152156,9061970,4323
Sanfara ft. Gati - Lil Nhar (Clip Officiel) | ليل نهار,Sanfara ft. Gati - Lil Nhar (Clip Officiel) | ليل نهار,2020-06-17T11:48:54Z,Featuring,Gati - Lil Nhar (Clip Officiel) | ليل نهار,154561,11818476,5412
Sanfara - Chbini Haka | شبيني هكّا (Clip Officiel),Sanfara - Chbini Haka | شبيني هكّا (Clip Officiel),2020-05-29T11:53:29Z,Solo,[],230969,24032556,6155
Sanfara - Fa9ou Beya (Audio Officiel) | فاقو بيّا,Sanfara - Fa9ou Beya (Audio Officiel) | فاقو بيّا,2020-05-09T18:20:55Z,Solo,[],283089,40317410,8436
Sanfara - Tjini Taw |  تجيني تو (Prod by Penacho),Sanfara - Tjini Taw |  تجيني تو (Prod by Penacho),2020-04-06T17:24:08Z,Solo,[],97087,6471991,2814
Sanfara - Wras La7nina (Clip Officiel) | وراس لحنينۃ,Sanfara - Wras La7nina (Clip Officiel) | وراس لحنينۃ,2020-03-12T11:58:31Z,Solo,[],290580,33083639,6875
